ID,AssignedTo,CPUDemand,SemanticVector,Step
6,,1,"[0.8740139603614807, 0.7274360656738281, 0.20056994259357452, 0.9464330077171326, 0.6870810389518738, 0.1218116506934166, 0.09325074404478073, 0.7684074640274048, 0.3836207985877991, 0.01437712274491787, 0.6806414723396301, 0.9556389451026917, 0.47741714119911194, 0.798939049243927, 0.9062745571136475, 0.017222562804818153]",3
1,1.0,1,"[0.8084545135498047, 0.9243621826171875, 0.4472414553165436, 0.6949541568756104, 0.2705221176147461, 0.6604267358779907, 0.9042291641235352, 0.4138049781322479, 0.39968371391296387, 0.7698545455932617, 0.8401697874069214, 0.8466208577156067, 0.41516029834747314, 0.44293248653411865, 0.05004884675145149, 0.21261344850063324]",4
2,1.0,2,"[0.0702584981918335, 0.8212419748306274, 0.798129141330719, 0.25063690543174744, 0.5361413955688477, 0.17308568954467773, 0.7804511189460754, 0.8247849345207214, 0.21832647919654846, 0.2696905732154846, 0.9667875170707703, 0.7969671487808228, 0.6719652414321899, 0.7016053795814514, 0.08040774613618851, 0.9397944211959839]",4
3,,3,"[0.7105824947357178, 0.17964130640029907, 0.8974736928939819, 0.7468644976615906, 0.4353206157684326, 0.3526271879673004, 0.9753448367118835, 0.9643632769584656, 0.7898242473602295, 0.6066902279853821, 0.17554602026939392, 0.007899540476500988, 0.2918024957180023, 0.5599020719528198, 0.2867349684238434, 0.8140291571617126]",4
4,,4,"[0.7435856461524963, 0.47050154209136963, 0.15602898597717285, 0.3069099187850952, 0.5557464957237244, 0.1369517594575882, 0.9041774868965149, 0.5890053510665894, 0.3228085935115814, 0.43920478224754333, 0.6846147775650024, 0.22615623474121094, 0.15156644582748413, 0.013025511056184769, 0.696130096912384, 0.8425652384757996]",4
5,,5,"[0.31309500336647034, 0.40448886156082153, 0.9180592894554138, 0.6255791187286377, 0.9283073544502258, 0.2420467585325241, 0.3615609109401703, 0.5352246761322021, 0.3855817914009094, 0.11467660218477249, 0.18293505907058716, 0.5898407697677612, 0.900814414024353, 0.3753177225589752, 0.551479697227478, 0.2959795594215393]",4
6,,1,"[0.4808730483055115, 0.18354232609272003, 0.17911386489868164, 0.8793326616287231, 0.5646777153015137, 0.0849713534116745, 0.2916485667228699, 0.1349688172340393, 0.7600762248039246, 0.2418198585510254, 0.2650480568408966, 0.9832323789596558, 0.9990848302841187, 0.25264760851860046, 0.9905449151992798, 0.8619420528411865]",4
1,1.0,1,"[0.7600962519645691, 0.3634299635887146, 0.33506056666374207, 0.6856209635734558, 0.4213462769985199, 0.5362352728843689, 0.3690318763256073, 0.9159936308860779, 0.3336638808250427, 0.5372304916381836, 0.550405740737915, 0.3986179530620575, 0.8542709350585938, 0.24986934661865234, 0.662051260471344, 0.09502403438091278]",5
2,1.0,2,"[0.674897313117981, 0.8838018774986267, 0.20661552250385284, 0.27937549352645874, 0.3023221492767334, 0.9223482608795166, 0.9872376918792725, 0.2968352437019348, 0.6151828169822693, 0.7244169116020203, 0.5485017895698547, 0.3270917534828186, 0.7108038663864136, 0.10342997312545776, 0.2123059779405594, 0.48193663358688354]",5
3,,3,"[0.646078884601593, 0.4360344707965851, 0.882016658782959, 0.11775139719247818, 0.6148265600204468, 0.0753755196928978, 0.2635461390018463, 0.11950550228357315, 0.9567883014678955, 0.40144896507263184, 0.814836323261261, 0.7206578254699707, 0.882411539554596, 0.07930658757686615, 0.27776890993118286, 0.08413515985012054]",5
4,,4,"[0.13110807538032532, 0.6711813807487488, 0.4428083896636963, 0.6779778599739075, 0.21059221029281616, 0.39347925782203674, 0.4314345121383667, 0.47696444392204285, 0.7849535346031189, 0.5590660572052002, 0.04664980247616768, 0.21439911425113678, 0.983302652835846, 0.2802559733390808, 0.042559318244457245, 0.7564162015914917]",5
5,,5,"[0.40360042452812195, 0.34956082701683044, 0.5601540207862854, 0.958884596824646, 0.3719155490398407, 0.7556487917900085, 0.9747648239135742, 0.7996472716331482, 0.06485852599143982, 0.323384553194046, 0.9782596230506897, 0.09136372804641724, 0.19085031747817993, 0.2470671385526657, 0.4706743359565735, 0.7713537216186523]",5
6,,1,"[0.48853883147239685, 0.90071040391922, 0.22951824963092804, 0.46960878372192383, 0.2999773919582367, 0.15304134786128998, 0.8101093173027039, 0.6269568204879761, 0.788895845413208, 0.2869288921356201, 0.6902679800987244, 0.34782183170318604, 0.4948539435863495, 0.49916407465934753, 0.3079990744590759, 0.2805331349372864]",5
1,1.0,1,"[0.8431153893470764, 0.14901070296764374, 0.7251558303833008, 0.3230469524860382, 0.6698451042175293, 0.03248322010040283, 0.6124245524406433, 0.2541109025478363, 0.7966236472129822, 0.1712270975112915, 0.793213427066803, 0.8719140887260437, 0.236059308052063, 0.025171084329485893, 0.6149750351905823, 0.21444514393806458]",6
2,1.0,2,"[0.4632055163383484, 0.7364946603775024, 0.5399516224861145, 0.8738146424293518, 0.6172882914543152, 0.9586589336395264, 0.6565808653831482, 0.8438006639480591, 0.8639668822288513, 0.8298904299736023, 0.072360098361969, 0.7473878860473633, 0.8985136151313782, 0.48309093713760376, 0.086758092045784, 0.22540436685085297]",6
3,,3,"[0.7988795638084412, 0.8632215857505798, 0.9476006031036377, 0.6329864859580994, 0.03729676455259323, 0.9206731915473938, 0.0310708899050951, 0.9161590933799744, 0.19788816571235657, 0.8593220710754395, 0.6911294460296631, 0.4068533182144165, 0.8387397527694702, 0.4484807550907135, 0.7805107235908508, 0.030636411160230637]",6
4,,4,"[0.3022044897079468, 0.9524391293525696, 0.8955188989639282, 0.5060535669326782, 0.039648596197366714, 0.5891965627670288, 0.8263088464736938, 0.7071544528007507, 0.8405929207801819, 0.9971836805343628, 0.612697958946228, 0.46165263652801514, 0.20717552304267883, 0.46758705377578735, 0.3512173593044281, 0.23176778852939606]",6
5,,5,"[0.4848615527153015, 0.9278961420059204, 0.5539186000823975, 0.8594328165054321, 0.9957680702209473, 0.022641431540250778, 0.8483900427818298, 0.8120390772819519, 0.6717866063117981, 0.3394412398338318, 0.682536780834198, 0.0039350613951683044, 0.37644752860069275, 0.07503505051136017, 0.16294372081756592, 0.9068875908851624]",6
6,,1,"[0.1818765550851822, 0.6305199265480042, 0.603995680809021, 0.8271997570991516, 0.03724023699760437, 0.2893298268318176, 0.917048454284668, 0.35758909583091736, 0.393530935049057, 0.171686053276062, 0.5447641611099243, 0.6381526589393616, 0.1846608817577362, 0.19958551228046417, 0.1584455519914627, 0.7492096424102783]",6
1,1.0,1,"[0.6357357501983643, 0.8013955354690552, 0.9909983277320862, 0.5145484209060669, 0.26710182428359985, 0.4809715151786804, 0.33487099409103394, 0.9198091626167297, 0.9644833207130432, 0.17981413006782532, 0.8979114294052124, 0.6838684678077698, 0.07237415015697479, 0.9574645757675171, 0.7420535087585449, 0.8203170299530029]",7
2,1.0,2,"[0.02998027205467224, 0.22112531960010529, 0.03951306268572807, 0.6500824093818665, 0.15997399389743805, 0.20000487565994263, 0.3625492751598358, 0.17366337776184082, 0.5060647130012512, 0.19667039811611176, 0.4506109654903412, 0.03565934672951698, 0.07062574476003647, 0.09854063391685486, 0.3511142134666443, 0.8934489488601685]",7
3,,3,"[0.5533940196037292, 0.12000478059053421, 0.22087417542934418, 0.03882322832942009, 0.5528361797332764, 0.46585237979888916, 0.07703541964292526, 0.9226840734481812, 0.6164674758911133, 0.31943070888519287, 0.031099902465939522, 0.24661919474601746, 0.3669281303882599, 0.4948963224887848, 0.2894148528575897, 0.380286306142807]",7
4,,4,"[0.8658621311187744, 0.6619188785552979, 0.33995604515075684, 0.5683960318565369, 0.9725947380065918, 0.6139969229698181, 0.8820650577545166, 0.5908778309822083, 0.23973101377487183, 0.886600136756897, 0.7484797835350037, 0.2066337913274765, 0.8730208873748779, 0.9528483748435974, 0.34567251801490784, 0.5554031133651733]",7
5,,5,"[0.6872260570526123, 0.25761401653289795, 0.2892865538597107, 0.1808471977710724, 0.8708723783493042, 0.14446216821670532, 0.10457581281661987, 0.061514053493738174, 0.8508450984954834, 0.6544456481933594, 0.4501921236515045, 0.3583493232727051, 0.08399713784456253, 0.22554783523082733, 0.9306392669677734, 0.6274961233139038]",7
6,,1,"[0.940272331237793, 0.5591213703155518, 0.35367444157600403, 0.43002957105636597, 0.09289127588272095, 0.6835159659385681, 0.7626931071281433, 0.8506647944450378, 0.7380715608596802, 0.312881201505661, 0.1457245945930481, 0.21182069182395935, 0.2193230837583542, 0.6921944618225098, 0.5593755841255188, 0.8448720574378967]",7
1,1.0,1,"[0.4844731390476227, 0.3580400049686432, 0.01976126991212368, 0.3085421323776245, 0.06325540691614151, 0.9713649749755859, 0.7703712582588196, 0.8962772488594055, 0.723364531993866, 0.18400605022907257, 0.5618703365325928, 0.8804205656051636, 0.5850565433502197, 0.5406970381736755, 0.04469156265258789, 0.9241926074028015]",8
2,1.0,2,"[0.5618133544921875, 0.6330896019935608, 0.9746420383453369, 0.6421138048171997, 0.19485688209533691, 0.8430396914482117, 0.5491020679473877, 0.6736809015274048, 0.5643433928489685, 0.4262555241584778, 0.06349164247512817, 0.8479570746421814, 0.10378379374742508, 0.668706476688385, 0.016898345202207565, 0.10971256345510483]",8
3,,3,"[0.6344373226165771, 0.7456976175308228, 0.1089063510298729, 0.5033026337623596, 0.30865350365638733, 0.9872857332229614, 0.5112459659576416, 0.9418560862541199, 0.893950343132019, 0.8732941150665283, 0.027349241077899933, 0.7049211859703064, 0.9981836676597595, 0.42578330636024475, 0.5317479968070984, 0.7243521809577942]",8
4,,4,"[0.09568005055189133, 0.2158762365579605, 0.5584559440612793, 0.8870524764060974, 0.348490446805954, 0.9559235572814941, 0.5900211930274963, 0.0154073815792799, 0.037321362644433975, 0.7100985050201416, 0.4549618661403656, 0.23214632272720337, 0.503301739692688, 0.36092957854270935, 0.7741217613220215, 0.7995509505271912]",8
5,,5,"[0.032099660485982895, 0.30391496419906616, 0.7954563498497009, 0.07751121371984482, 0.7891227006912231, 0.44637584686279297, 0.8267022371292114, 0.0068589067086577415, 0.8826777935028076, 0.4474967122077942, 0.7990894317626953, 0.6376174092292786, 0.8728386759757996, 0.09188846498727798, 0.1259390413761139, 0.13058027625083923]",8
6,6.0,1,"[0.48019951581954956, 0.5111172795295715, 0.2985633313655853, 0.30822116136550903, 0.525672197341919, 0.6280742883682251, 0.9824164509773254, 0.7006688714027405, 0.8591164946556091, 0.023345498368144035, 0.10518045723438263, 0.3402130901813507, 0.0958395004272461, 0.3491859436035156, 0.3772139251232147, 0.6001296639442444]",8
1,1.0,1,"[0.15418389439582825, 0.48553386330604553, 0.755495011806488, 0.8938970565795898, 0.39575710892677307, 0.055492810904979706, 0.1136917695403099, 0.3037610352039337, 0.7937832474708557, 0.9374145865440369, 0.22467219829559326, 0.8866023421287537, 0.27581650018692017, 0.04440685734152794, 0.14116454124450684, 0.8984551429748535]",9
2,1.0,2,"[0.8860619068145752, 0.058364108204841614, 0.9348081350326538, 0.08239052444696426, 0.7227476835250854, 0.4165821373462677, 0.2214745134115219, 0.02630176953971386, 0.748597264289856, 0.639625072479248, 0.16576038300991058, 0.7325705885887146, 0.7540505528450012, 0.8398842811584473, 0.6367661356925964, 0.6624956727027893]",9
3,,3,"[0.6346789598464966, 0.20320533215999603, 0.5085957050323486, 0.4690157175064087, 0.2905896306037903, 0.7177489399909973, 0.7303734421730042, 0.9151002764701843, 0.05406661704182625, 0.621623158454895, 0.18610480427742004, 0.9676783084869385, 0.1235986053943634, 0.385118693113327, 0.20516259968280792, 0.2512938380241394]",9
4,1.0,4,"[0.3875497281551361, 0.4579179286956787, 0.5413588285446167, 0.09188605099916458, 0.8379383087158203, 0.9700842499732971, 0.025784946978092194, 0.23574791848659515, 0.9375834465026855, 0.8996942639350891, 0.5759139657020569, 0.6530758142471313, 0.10062956809997559, 0.6963101029396057, 0.1492464542388916, 0.31057313084602356]",9
5,1.0,5,"[0.40967774391174316, 0.07263488322496414, 0.9713480472564697, 0.8312020301818848, 0.7301518321037292, 0.15732420980930328, 0.956828773021698, 0.25937360525131226, 0.6979953646659851, 0.5533143877983093, 0.6465026140213013, 0.5632444024085999, 0.2402500957250595, 0.17397785186767578, 0.7135191559791565, 0.3113895356655121]",9
6,1.0,1,"[0.600034236907959, 0.10913045704364777, 0.454311728477478, 0.9552826881408691, 0.9561402797698975, 0.3999645709991455, 0.09097196161746979, 0.11148269474506378, 0.6368809938430786, 0.24712276458740234, 0.18297693133354187, 0.32917320728302, 0.4600684344768524, 0.05210786312818527, 0.7296308279037476, 0.5885570645332336]",9
1,1.0,1,"[0.5744608640670776, 0.9544732570648193, 0.46564045548439026, 0.4937540888786316, 0.9041856527328491, 0.896304726600647, 0.4372395873069763, 0.7706285119056702, 0.9907313585281372, 0.13354255259037018, 0.10054931044578552, 0.755917489528656, 0.6077543497085571, 0.5829561352729797, 0.306418776512146, 0.4973282516002655]",10
2,1.0,2,"[0.27398520708084106, 0.42845237255096436, 0.7328639030456543, 0.8097308278083801, 0.0006808993639424443, 0.6434232592582703, 0.11051572114229202, 0.8928499817848206, 0.10012844949960709, 0.29172539710998535, 0.44435790181159973, 0.9489328265190125, 0.976593017578125, 0.23424866795539856, 0.03133424371480942, 0.32922086119651794]",10
3,1.0,3,"[0.6819688677787781, 0.7478503584861755, 0.4588981866836548, 0.03423512727022171, 0.7002944946289062, 0.10659482330083847, 0.5885570645332336, 0.7154719829559326, 0.8985795378684998, 0.8616235852241516, 0.865940272808075, 0.19029660522937775, 0.3142508566379547, 0.4098277688026428, 0.7729949355125427, 0.06665756553411484]",10
4,5.0,4,"[0.11274320632219315, 0.8329049944877625, 0.23154103755950928, 0.4327658712863922, 0.020934730768203735, 0.9968306422233582, 0.7256711721420288, 0.12473071366548538, 0.7690916657447815, 0.7037525177001953, 0.45689812302589417, 0.8944059610366821, 0.01659783162176609, 0.4068908989429474, 0.3468324840068817, 0.9180108308792114]",10
5,6.0,5,"[0.5308693647384644, 0.8239918947219849, 0.3952665627002716, 0.5679486989974976, 0.8838099837303162, 0.5873642563819885, 0.4819713830947876, 0.6757027506828308, 0.610908567905426, 0.2560855448246002, 0.4058716893196106, 0.1686161309480667, 0.8548581600189209, 0.24368640780448914, 0.6390271186828613, 0.44119107723236084]",10
6,1.0,1,"[0.9941042065620422, 0.07179855555295944, 0.6773056387901306, 0.7290219068527222, 0.22356803715229034, 0.5802125930786133, 0.11156146228313446, 0.775761067867279, 0.42091134190559387, 0.2055065780878067, 0.757076621055603, 0.5687261819839478, 0.8461962342262268, 0.3872430920600891, 0.2386380136013031, 0.0837986171245575]",10
1,1.0,1,"[0.6124553680419922, 0.4369933307170868, 0.7897564768791199, 0.8986530303955078, 0.44361189007759094, 0.32399293780326843, 0.8342691659927368, 0.4648127853870392, 0.3832665681838989, 0.2191435545682907, 0.5123192071914673, 0.5390169024467468, 0.8207463026046753, 0.11963453143835068, 0.3288165330886841, 0.41548579931259155]",11
2,1.0,2,"[0.9919782876968384, 0.4228922128677368, 0.07690086215734482, 0.8953324556350708, 0.030726030468940735, 0.19453518092632294, 0.649014413356781, 0.3142835199832916, 0.7864140868186951, 0.5364013910293579, 0.226339191198349, 0.4129645526409149, 0.589973509311676, 0.33678168058395386, 0.4873322546482086, 0.4622030556201935]",11
3,6.0,3,"[0.04819013178348541, 0.8070961236953735, 0.9893772006034851, 0.3335379660129547, 0.577681303024292, 0.7897984385490417, 0.9369937777519226, 0.6083105802536011, 0.8990097045898438, 0.5153462290763855, 0.971534788608551, 0.6460584402084351, 0.8432151079177856, 0.8541567325592041, 0.665937602519989, 0.30673930048942566]",11
4,6.0,4,"[0.446339875459671, 0.8929499387741089, 0.14308470487594604, 0.29947125911712646, 0.5250250697135925, 0.012895489111542702, 0.1087179183959961, 0.17866142094135284, 0.9130539894104004, 0.9996079206466675, 0.3122124969959259, 0.5161389708518982, 0.7943508625030518, 0.10142119973897934, 0.13146914541721344, 0.7576790452003479]",11
5,1.0,5,"[0.3206903338432312, 0.262268602848053, 0.9676206707954407, 0.6635870933532715, 0.8885196447372437, 0.12699812650680542, 0.5315224528312683, 0.5474960207939148, 0.493740975856781, 0.3219314515590668, 0.8860145211219788, 0.08191081881523132, 0.3395459055900574, 0.5855662226676941, 0.19643338024616241, 0.7426437735557556]",11
6,6.0,1,"[0.18113075196743011, 0.7420367002487183, 0.7671025991439819, 0.8492099046707153, 0.15348130464553833, 0.42893487215042114, 0.8796929121017456, 0.7022897005081177, 0.3633638620376587, 0.38514766097068787, 0.9118861556053162, 0.8398696184158325, 0.9684406518936157, 0.5641840696334839, 0.004721536301076412, 0.09674747288227081]",11
1,1.0,1,"[0.45382270216941833, 0.10003701597452164, 0.13777102530002594, 0.3082287907600403, 0.9939449429512024, 0.6931750178337097, 0.7795923352241516, 0.997818112373352, 0.7854151725769043, 0.27241671085357666, 0.05505343899130821, 0.5158214569091797, 0.5272382497787476, 0.9525489807128906, 0.17615023255348206, 0.5833186507225037]",12
2,1.0,2,"[0.41357001662254333, 0.8437548875808716, 0.19745132327079773, 0.2330506592988968, 0.44369783997535706, 0.6737022995948792, 0.13959918916225433, 0.8013401627540588, 0.4510429799556732, 0.3593882620334625, 0.23859737813472748, 0.6623676419258118, 0.3534160852432251, 0.17856097221374512, 0.7736470699310303, 0.3903700113296509]",12
3,1.0,3,"[0.3550744354724884, 0.07416080683469772, 0.7194679975509644, 0.8442680835723877, 0.6308333873748779, 0.3519339859485626, 0.10225148499011993, 0.7404268383979797, 0.15074123442173004, 0.20244145393371582, 0.7545596361160278, 0.06694505363702774, 0.3021705746650696, 0.3107343912124634, 0.5893961191177368, 0.7521502375602722]",12
4,1.0,4,"[0.1279716044664383, 0.8360105752944946, 0.16422323882579803, 0.12066670507192612, 0.9973242878913879, 0.22269147634506226, 0.22192291915416718, 0.7510793805122375, 0.8562111258506775, 0.5618307590484619, 0.48079973459243774, 0.823067307472229, 0.8856405019760132, 0.032747093588113785, 0.3633160889148712, 0.8124815821647644]",12
5,1.0,5,"[0.8887054920196533, 0.5919316411018372, 0.3050186038017273, 0.8780538439750671, 0.6220194697380066, 0.7043489813804626, 0.4975402355194092, 0.1283806562423706, 0.10324237495660782, 0.057358987629413605, 0.8869963884353638, 0.2756460905075073, 0.23944179713726044, 0.12468637526035309, 0.5166651010513306, 0.07871107757091522]",12
6,6.0,1,"[0.06663671880960464, 0.9479325413703918, 0.3592161536216736, 0.45412999391555786, 0.7177522778511047, 0.22162224352359772, 0.28919610381126404, 0.625836193561554, 0.005023453384637833, 0.9884189367294312, 0.8992120623588562, 0.5476922392845154, 0.4292271137237549, 0.8588502407073975, 0.3889642655849457, 0.2468641847372055]",12
1,2.0,1,"[0.14059360325336456, 0.7731590270996094, 0.7793561220169067, 0.7523035407066345, 0.6511321067810059, 0.23036634922027588, 0.6385007500648499, 0.32239335775375366, 0.1376330554485321, 0.6588191986083984, 0.026068711653351784, 0.86053866147995, 0.03600795939564705, 0.36600834131240845, 0.23904287815093994, 0.868112325668335]",13
2,1.0,2,"[0.3512999415397644, 0.04069923982024193, 0.525536298751831, 0.6064974069595337, 0.472241073846817, 0.5254006385803223, 0.6971136331558228, 0.5811313390731812, 0.021251078695058823, 0.8779961466789246, 0.48800793290138245, 0.5906566977500916, 0.494818776845932, 0.023755840957164764, 0.5773240327835083, 0.1873290240764618]",13
3,1.0,3,"[0.3736540377140045, 0.8018175959587097, 0.14988413453102112, 0.15993790328502655, 0.9092848300933838, 0.16334643959999084, 0.0565316416323185, 0.3866267800331116, 0.7920685410499573, 0.9191924929618835, 0.2538006901741028, 0.9746176600456238, 0.040234196931123734, 0.8297712802886963, 0.4407779574394226, 0.836074948310852]",13
4,1.0,4,"[0.9725725650787354, 0.4278596341609955, 0.46262624859809875, 0.08151204884052277, 0.42537805438041687, 0.9429236054420471, 0.03209555521607399, 0.6445279121398926, 0.8298574686050415, 0.589957594871521, 0.21933390200138092, 0.6488015055656433, 0.6808839440345764, 0.10164612531661987, 0.9498711228370667, 0.7541472315788269]",13
5,6.0,5,"[0.12564925849437714, 0.36101576685905457, 0.20446160435676575, 0.7577924728393555, 0.09958798438310623, 0.1481974571943283, 0.14553406834602356, 0.10121512413024902, 0.2166488617658615, 0.8791893720626831, 0.6203879117965698, 0.9080830216407776, 0.12386451661586761, 0.27109435200691223, 0.6818337440490723, 0.3358790874481201]",13
6,1.0,1,"[0.1323736310005188, 0.929290771484375, 0.5207164287567139, 0.38314592838287354, 0.6368709802627563, 0.353765606880188, 0.895941972732544, 0.17988261580467224, 0.7636204361915588, 0.40688687562942505, 0.4618820250034332, 0.14571119844913483, 0.2889327108860016, 0.020144499838352203, 0.787263035774231, 0.6688803434371948]",13
1,1.0,1,"[0.7353847622871399, 0.5666306018829346, 0.10096756368875504, 0.4173048436641693, 0.8129874467849731, 0.3815082907676697, 0.8822854161262512, 0.4649614989757538, 0.20672020316123962, 0.7084299921989441, 0.6674379110336304, 0.7016398906707764, 0.1423719823360443, 0.44240477681159973, 0.5799710750579834, 0.7484309673309326]",14
2,1.0,2,"[0.42092445492744446, 0.5967490077018738, 0.2579105496406555, 0.6979336142539978, 0.9880789518356323, 0.5743674039840698, 0.021907219663262367, 0.8163353800773621, 0.09039204567670822, 0.15882009267807007, 0.8870865106582642, 0.058813925832509995, 0.21562336385250092, 0.7715741395950317, 0.5562291145324707, 0.6628023982048035]",14
3,1.0,3,"[0.7621691226959229, 0.5801697373390198, 0.11310172080993652, 0.7225520014762878, 0.3074977695941925, 0.8260185122489929, 0.956854522228241, 0.7749413847923279, 0.31110870838165283, 0.6736621856689453, 0.5952198505401611, 0.07770004868507385, 0.6810696721076965, 0.260812371969223, 0.3074605464935303, 0.4658566117286682]",14
4,5.0,4,"[0.04017864912748337, 0.8202348947525024, 0.9728676080703735, 0.633589506149292, 0.44172337651252747, 0.5657134056091309, 0.5368484258651733, 0.21507468819618225, 0.5593835115432739, 0.4688684344291687, 0.40686488151550293, 0.7096462249755859, 0.0840890035033226, 0.511562168598175, 0.6895526051521301, 0.873829185962677]",14
